1	Madrid	3 286 662	 Madrid	 Comunidad de Madrid
2	Barcelona	1 636 193	 Barcelona	 Cataluña
3	Valencia	792 492	Valencia	 Comunidad Valenciana
4	Zaragoza	694 109	 Zaragoza	 Aragón
5	Sevilla	681 998	 Sevilla	 Andalucía
6	Málaga	579 076	 Málaga	 Andalucía
7	Murcia	462 979	 Región de Murcia
8	Palma de Mallorca	415 940	 Islas Baleares
9	Las Palmas de Gran Canaria	378 797	Las Palmas	 Canarias
10	Bilbao	344 127	 Vizcaya	 País Vasco
11	Alicante	338 577	Alicante	 Comunidad Valenciana
12	Córdoba	319 515	 Córdoba	 Andalucía
13	Valladolid	295 639	 Valladolid	 Castilla y León
14	Vigo	292 374	 Pontevedra	 Galicia
15	Gijón	267 706	 Principado de Asturias
16	Hospitalet de Llobregat	265 444	 Barcelona	 Cataluña
17	Vitoria	253 672	 Álava	 País Vasco
18	La Coruña	244 700	La Coruña	 Galicia
19	Elche	235 580	Alicante	 Comunidad Valenciana
20	Granada	228 682	 Granada	 Andalucía
21	Tarrasa	224 114	 Barcelona	 Cataluña
22	Badalona	223 506	 Barcelona	 Cataluña
23	Cartagena	216 961	 Región de Murcia
24	Sabadell	215 760	 Barcelona	 Cataluña
25	Oviedo	215 167	 Principado de Asturias
26	Jerez de la Frontera	212 730	 Cádiz	 Andalucía
27	Móstoles	208 761	 Comunidad de Madrid
28	Santa Cruz de Tenerife	208 688	Santa Cruz de Tenerife	 Canarias
29	Pamplona	203 418	 Navarra
30	Almería	199 237	 Almería	 Andalucía
31	Alcalá de Henares	196 888	 Comunidad de Madrid
32	Fuenlabrada	189 891	 Comunidad de Madrid
33	San Sebastián	187 849	 Guipúzcoa	 País Vasco
34	Leganés	186 660	 Comunidad de Madrid
35	Getafe	183 218	 Comunidad de Madrid
36	Burgos	173 483	 Burgos	 Castilla y León
37	Albacete	172 357	 Albacete	 Castilla-La Mancha
38	Castellón de la Plana	171 857	Castellón	 Comunidad Valenciana
39	Santander	171 693	 Cantabria
40	Alcorcón	170 296	 Comunidad de Madrid
41	San Cristóbal de La Laguna	157 815	Santa Cruz de Tenerife	 Canarias
42	Marbella	150 725	 Málaga	 Andalucía
43	Badajoz	150 146	 Badajoz	 Extremadura
44	Logroño	150 020	 La Rioja
45	Salamanca	142 412	 Salamanca	 Castilla y León
46	Huelva	141 854	 Huelva	 Andalucía
47	Lérida	140 797	Lérida	 Cataluña
48	Dos Hermanas	137 561	 Sevilla	 Andalucía
49	Tarragona	134 883	 Tarragona	 Cataluña
50	Torrejón de Ardoz	134 733	 Comunidad de Madrid
51	Parla	130 577	 Comunidad de Madrid
52	Mataró	128 956	 Barcelona	 Cataluña
53	Algeciras	122 368	 Cádiz	 Andalucía
54	León	120 951	 León	 Castilla y León
55	Santa Coloma de Gramanet	117 981	 Barcelona	 Cataluña
56	Alcobendas	117 041	 Comunidad de Madrid
57	Cádiz	113 066	 Cádiz	 Andalucía
58	Jaén	111 669	 Jaén	 Andalucía
59	Reus	106 741	 Tarragona	 Cataluña
60	Orense	103 756	 Orense	 Galicia
61	Roquetas de Mar	102 881	 Almería	 Andalucía
62	Gerona	102 666	Gerona	 Cataluña
63	Telde	102 472	Las Palmas	 Canarias
64	Baracaldo	100 535	 Vizcaya	 País Vasco
65	Santiago de Compostela	98 179	La Coruña	 Galicia
66	Lugo	97 211	 Lugo	 Galicia
67	Lorca	97 151	 Región de Murcia
68	Rivas-Vaciamadrid	96 690	 Comunidad de Madrid
69	Las Rozas de Madrid	95 725	 Comunidad de Madrid
70	San Cugat del Vallés	95 725	 Barcelona	 Cataluña
71	Cáceres	95 456	 Cáceres	 Extremadura
72	San Fernando	94 120	 Cádiz	 Andalucía
73	San Sebastián de los Reyes	91 083	 Comunidad de Madrid
74	Mijas	89 502	 Málaga	 Andalucía
75	El Puerto de Santa María	89 435	 Cádiz	 Andalucía
76	Cornellá de Llobregat	89 039	 Barcelona	 Cataluña
77	Pozuelo de Alarcón	87 728	 Comunidad de Madrid
78	El Ejido	87 500	 Almería	 Andalucía
79	Chiclana de la Frontera	87 493	 Cádiz	 Andalucía
80	Guadalajara	87 452	 Guadalajara	 Castilla-La Mancha
81	Melilla	85 170	 Melilla
82	Torrente	85 142	Valencia	 Comunidad Valenciana
83	Toledo	85 085	 Toledo	 Castilla-La Mancha
84	Vélez-Málaga	83 899	 Málaga	 Andalucía
85	Torrevieja	83 547	Alicante	 Comunidad Valenciana
86	San Baudilio de Llobregat	83 371	 Barcelona	 Cataluña
87	Talavera de la Reina	83 247	 Toledo	 Castilla-La Mancha
88	Fuengirola	83 226	 Málaga	 Andalucía
89	Ceuta	83 117	 Ceuta
90	Arona	82 982	Santa Cruz de Tenerife	 Canarias
91	Pontevedra	82 828	 Pontevedra	 Galicia
92	Orihuela	80 784	Alicante	 Comunidad Valenciana
93	Coslada	80 596	 Comunidad de Madrid
94	Valdemoro	79 100	 Comunidad de Madrid
95	Rubí	79 007	 Barcelona	 Cataluña
96	Manresa	77 459	 Barcelona	 Cataluña
97	Guecho	76 365	 Vizcaya	 País Vasco
98	Palencia	76 302	 Palencia	 Castilla y León
99	Alcalá de Guadaíra	75 917	 Sevilla	 Andalucía
100	Gandía	75 911	Valencia	 Comunidad Valenciana
101	Avilés	75 877	 Principado de Asturias
102	Ciudad Real	74 850	 Ciudad Real	 Castilla-La Mancha
103	Molina de Segura	74 762	 Región de Murcia
104	Santa Lucía de Tirajana	74 560	Las Palmas	 Canarias
105	Estepona	74 493	 Málaga	 Andalucía
106	Benalmádena	73 160	 Málaga	 Andalucía
107	Majadahonda	72 179	 Comunidad de Madrid
108	Paterna	71 880	Valencia	 Comunidad Valenciana
109	Benidorm	69 738	Alicante	 Comunidad Valenciana
110	Sanlúcar de Barrameda	69 727	 Cádiz	 Andalucía
111	Torremolinos	68 819	 Málaga	 Andalucía
112	Villanueva y Geltrú	68 152	 Barcelona	 Cataluña
113	Sagunto	68 066	Valencia	 Comunidad Valenciana
114	Castelldefels	67 307	 Barcelona	 Cataluña
115	Viladecans	66 720	 Barcelona	 Cataluña
116	El Prat de Llobregat	65 030	 Barcelona	 Cataluña
